same_semantic_prime,same_semantic_target,similar_phone_prime,similar_phone_target,diff_prime,diff_target
tear,tear,prime,crime,bear,numb
cure ,cure,wave,cave,blink,smell
drag,drag,cane,sane,break,vague
fade,fade,rake,take,choir,blend
fold,fold,bate,hate,apple,beyond
free,free,home,comb,flu,dry
heat,heat,tool,cool,goat,cake
hire,hire,bake,lake,great,sweet
kick,kick,fire,tire,still,rough
lack,lack,brown,crown,group,dizzy
link,link,cold,told,hear,rare
lock,lock,crew,brew,hole,salt
melt,melt,glue,blue,made,sign
pack,pack,side,tide,mail,yell
pose,pose,sail,fail,main,king
pray,pray,power,tower,moan,trick
rest,rest,slip,flip,cubic,write
soak,soak,flow,slow,one,map
warn,warn,toast,coast,phase,strict
wipe,wipe,lure,pure,piece,shave
wrap,wrap,stain,stake,pores,block
acid,acid,clam,crab,sole,win
arid,arid,file,fine,stalk,milk
brutal,brutal,stunt,stub,steak,coarse
tone,tone,twin ,twig,style,risk
docile,docile,pipe,pine,suit,rage
fatal,fatal,beam,bean,tax,pick
earth,earth,tape,tame,toad,line
hostile,hostile,gate,game,wade,clerk
humid,humid,cream,creed,waist,bitter
liquid,liquid,ring,ream,wait,range
mature,mature,jail,jake,war,cry
mobile,mobile,rain,rail,wear,tall
neutral,neutral,track,trash,ache,rose
love,love,green,greed,tray,battle
fail,fail,fit,fill,chair,spring
rigid,rigid,even,evil,fresh,print
solemn,solemn,gag,gap,code,goal
sterile,sterile,hash,hat,quit,key
toxic,toxic,start,stock,crate,quiz
